,ip_address,remote_log_name,authenticated_user_name,timestamp,method,requesta_url,protocol,status_code,bytes_transferred,referrer_url,user_agent
0,192.168.4.25,,,[22/Dec/2016:16:30:52 +0300],POST,/administrator/index.php,HTTP/1.1,303,382,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
1,192.168.4.25,,,[22/Dec/2016:16:29:05 +0300],POST,/index.php/component/search/,HTTP/1.1,500,2011,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
2,192.168.4.25,,,[22/Dec/2016:16:28:53 +0300],POST,/index.php/component/search/,HTTP/1.1,303,374,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
3,192.168.4.25,,,[22/Dec/2016:16:32:50 +0300],POST,/index.php/component/search/,HTTP/1.1,200,3054,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
4,192.168.4.25,,,[22/Dec/2016:16:29:13 +0300],POST,/index.php/component/search/,HTTP/1.1,200,3056,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
5,192.168.4.25,,,[22/Dec/2016:16:29:33 +0300],GET,/index.php/component/search/?searchword=&ordering=alpha&searchphrase=all&areas[0]=newsfeeds,HTTP/1.1,200,3122,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
6,192.168.4.25,,,[22/Dec/2016:16:24:39 +0300],POST,/index.php/component/search/,HTTP/1.1,303,412,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
7,192.168.4.25,,,[22/Dec/2016:16:28:52 +0300],POST,/index.php/component/search/,HTTP/1.1,303,377,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
8,192.168.4.25,,,[22/Dec/2016:16:28:58 +0300],POST,/index.php/component/search/,HTTP/1.1,200,3052,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
9,192.168.4.25,,,[22/Dec/2016:16:21:56 +0300],POST,/index.php/component/search/,HTTP/1.1,303,376,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
10,192.168.4.25,,,[22/Dec/2016:16:20:49 +0300],POST,/index.php/component/search/,HTTP/1.1,303,376,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
11,192.168.4.25,,,[22/Dec/2016:16:18:20 +0300],GET,/templates/beez_20/css/personal.css,HTTP/1.1,200,4918,"http://192.168.4.161/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
12,192.168.4.25,,,[22/Dec/2016:16:28:11 +0300],POST,/index.php/component/search/,HTTP/1.1,303,378,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
13,192.168.4.25,,,[22/Dec/2016:16:25:15 +0300],POST,/index.php/component/search/,HTTP/1.1,303,372,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
14,192.168.4.25,,,[22/Dec/2016:16:26:04 +0300],POST,/index.php/component/search/,HTTP/1.1,303,371,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
15,192.168.4.25,,,[22/Dec/2016:16:27:34 +0300],POST,/index.php/component/search/,HTTP/1.1,303,413,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
16,192.168.4.25,,,[22/Dec/2016:16:28:41 +0300],POST,/index.php/component/search/,HTTP/1.1,500,2011,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
17,192.168.4.25,,,[22/Dec/2016:16:25:45 +0300],POST,/index.php/component/search/,HTTP/1.1,200,3086,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
18,192.168.4.25,,,[22/Dec/2016:16:20:01 +0300],GET,/index.php/2-uncategorised/1--1'%20OR%202%2b196-196-1=0%2b0%2b0%2b1%20or%20'01Fg5alL'=',HTTP/1.1,200,3304,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
19,192.168.4.25,,,[22/Dec/2016:16:39:05 +0300],POST,/index.php/component/users/?task=user.login,HTTP/1.1,303,385,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
20,192.168.4.25,,,[22/Dec/2016:16:37:41 +0300],POST,/index.php/component/users/?task=/etc/passwd,HTTP/1.1,200,2767,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
21,192.168.4.25,,,[22/Dec/2016:16:40:05 +0300],POST,/index.php/component/users/?task=user.login,HTTP/1.1,303,385,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
22,192.168.4.25,,,[22/Dec/2016:16:21:23 +0300],POST,/index.php/component/search/,HTTP/1.1,303,393,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
23,192.168.4.25,,,[22/Dec/2016:16:34:32 +0300],POST,/index.php/component/search/,HTTP/1.1,303,396,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
24,192.168.4.25,,,[22/Dec/2016:16:36:25 +0300],POST,/index.php/component/search/,HTTP/1.1,303,4459,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
25,192.168.4.25,,,[22/Dec/2016:16:20:43 +0300],POST,/index.php/component/search/,HTTP/1.1,303,380,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
26,192.168.4.25,,,[22/Dec/2016:16:30:03 +0300],POST,/administrator/index.php,HTTP/1.1,500,1522,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
27,192.168.4.25,,,[22/Dec/2016:16:18:11 +0300],GET,/$sitepreview/localhost:2006/Wizard/,HTTP/1.1,404,526,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
28,192.168.4.25,,,[22/Dec/2016:16:18:19 +0300],GET,/media/system/js/mootools-more.js,HTTP/1.1,200,68451,"http://192.168.4.161/index.php/component/users/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)&view=reset","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
29,192.168.4.25,,,[22/Dec/2016:16:34:28 +0300],GET,/index.php/component/search/?ordering=newest%26n944645=v964541&searchphrase=all&searchword=,HTTP/1.1,200,3123,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
30,192.168.4.25,,,[22/Dec/2016:16:18:27 +0300],GET,/templates/beez_20/css/print.css,HTTP/1.1,200,2149,"http://192.168.4.161/index.php/component/users/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
31,192.168.4.25,,,[22/Dec/2016:16:36:26 +0300],GET,"/index.php/component/search/?ordering=newest&searchphrase=any&searchword=%f0''%f0\""\",HTTP/1.1,200,3148,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
32,192.168.4.25,,,[22/Dec/2016:16:33:06 +0300],POST,/index.php/component/search/,HTTP/1.1,200,3052,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
33,192.168.4.25,,,[22/Dec/2016:16:35:46 +0300],POST,/index.php,HTTP/1.1,303,368,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
34,192.168.4.25,,,[22/Dec/2016:16:30:08 +0300],POST,/index.php/component/search/,HTTP/1.1,200,3085,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
35,192.168.4.25,,,[22/Dec/2016:16:34:17 +0300],POST,/index.php/component/search/,HTTP/1.1,200,3056,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
36,192.168.4.25,,,[22/Dec/2016:16:36:34 +0300],POST,/index.php/component/search/,HTTP/1.1,303,371,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
37,192.168.4.25,,,[22/Dec/2016:16:38:51 +0300],POST,/index.php/component/users/?task=registration.register,HTTP/1.1,200,237,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
38,192.168.4.25,,,[22/Dec/2016:16:23:03 +0300],POST,/index.php/component/search/,HTTP/1.1,303,355,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
39,192.168.4.25,,,[22/Dec/2016:16:21:43 +0300],POST,/index.php/component/search/,HTTP/1.1,303,409,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
40,192.168.4.25,,,[22/Dec/2016:16:18:46 +0300],POST,/index.php,HTTP/1.1,200,339,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"
